Codice;Descrizione
A;Meccanismi di scarico
A01;Cassette incasso GEBERIT
A02;Moduli fix GEBERIT
A03;Cassette a zaino GEBERIT
A04;Placche e canotti GEBERIT
A05;Dispositivi per cassette GEBERIT
A06;Ricambi per cassette GEBERIT
A07;Rubinetti a galleggiante GEBERIT
A08;Pilette e sifoni doccia-vasca GEBERIT
A09;Sifoni e canaline GEBERIT
A10;Cassette incasso e placche GROHE
A11;Ricambi per cassette GROHE
A12;Cassette a zaino CR
A13;Ricambi per cassette CR
A14;Cassette a zaino PUCCI
A15;Cassette incasso PUCCI
A16;Placche per cassette incasso PUCCI
A18;Ricambi per cassetta PUCCI
A19;Cassette incasso e placche OLI
A20;Cassette a zaino OLI
A21;Ricambi per cassette OLI
A22;Cassette a zaino KARIBA
A23;Ricambi per cassette KARIBA
A24;Cassette a zaino SCHWAB
A25;Cassette incasso e placche SCHWAB
A26;Ricambi per cassette SCHWAB
A27;Rubinetti a galleggiante per cassette
A28;Tubi di cacciata in ottone per sistemi di scarico
A29;Tubi di cacciata in PVC per sistemi di scarico
A30;Batterie per cassette di scarico FLUIDMASTER
A31;Batterie PVC per cassette di scarico MBL
A32;Batterie ottone per cassette di scarico MBL
A33;Ricambi per batterie ottone
A34;Batterie di scarico CATIS
A35;Ricambi per batteria CATIS
A36;Batterie di scarico tipo CATIS
A37;Ricambi per batteria tipo CATIS
A38;Valvole per cassette OLI
A39;Ricambi per valvole OLI
A40;Cartucce Pneumatiche
B;Arredo bagno
B01;Sedile wc in Abs-Termoplastico
B02;Sedile Colato
B03;Sedile wc Termoindurente
B04;Sedile wc Mdf Poliesterato
B05;Cerniere di ricambio per sedili wc
B06;Paracolpi di ricambio per sedili wc
B07;Accessori bagno Ideal Star
B08;Accessori bagno ottone Gedy
B09;Ricambi per accessori bagno Gedy
B10;Accessori bagno abs e durolite Gedy
B11;Accesori bagno abs e durolite Saniplast
B12;Accessori bagno Bella
B13;Porta scopini
B14;Porta biancheria - rifiuti
B15;Angoliere termoplastiche
B16;Angoliere in filo
B18;Appendini per scaldasalviette
B19;Sgabelli doccia durolite
B20;Specchi in abs
B21;Specchi a filo
B22;Applique per specchi
B23;Piantane
B24;Asciugamani elettronici Ideal Star
B25;Asciugamani elettronici Vama
B26;Dosatori
B27;Distributori carta
B28;Armadietto con serratura
B29;Mobili da bagno classici bianchi
B30;Mobili da bagno classici colorati
B31;Mobili da bagno Moderni
B32;Complementi per mobili
B33;Mobili da bagno Arte Povera
B34;Applique per mobili bagno
B35;Box doccia alluminio acrilico
B36;Box doccia alluminio vetro
B37;Box doccia in cristallo 5 mm
B38;Box doccia alluminio vetro MM6
B39;Box doccia in cristallo 6MM
B40;Box vasca
B41;Box doccia Ideal Star 6 mm
B42;Ricambi per box linea GIAVA
B43;RICAMBI PER BOX IDEAL STAR
B44;Box doccia pvc a soffietto
B45;Tappeti doccia - vasca
B46;Aste doccia
B47;Tende doccia pvc
B48;Tende doccia tessuto
B49;Vasche in acciaio
B50;Vasche acrilico Ideal Standard
B51;Vasche acrilico Ideal Star
B52;Vasche Treesse
C;Rubinetteria
C01;Rubinetteria monocomando Ideal Standard
C02;Cartucce di ricambio Ideal Standard
C03;Rubinetteria monocomando Paini
C04;Rubinetteria tre fori Paini
C05;Rubinetteria termostatica Paini
C06;Cartucce di ricambio Paini
C07;Rubinetteria monocomando Grohe
C08;Rubinetteria di filtraggio Grohe
C09;Cartucce di ricambio Grohe
C10;Rubinetteria monocomando Frattini
C11;Cartucce di ricambio Frattini
C12;Rubinetteria monocomando Eurorama
C13;Cartucce di ricambio Eurorama
C14;Rubinetteria Teorema
