Codice_Interno;Descrizione;Produttore;Codice Produttore
1193002;STAFFA CLIMATIZZATORI UNIVERSALE SUPER LIGHT CON TRAVERSA 420x400x700;2EMMECLIMA;S-410
1193202;STAFFA CLIMATIZZATORE UNIVERSALE CLOCK PREMONTATA CON TRAVERSA 420x400x800;2EMMECLIMA;S-210P
1193204;STAFFA CLIMATIZZATORE UNIVERSALE CLOCK PREMONTATA CON TRAVERSA 465x400x800;2EMMECLIMA;S-211P
5041002;KIT INSTALLAZIONE PER POMPE DI CALORE - Acciaio zincato;2EMMECLIMA;S-836-71
5041202;BASE A PAVIMENTO BROOKLYN - 200 Kg - L 400xH95xP150 mm;2EMMECLIMA;S-634
5041204;BASE A PAVIMENTO BROOKLYN - 500 Kg - L 460xH95xP150 mm;2EMMECLIMA;S-636
5041402;KIT 4 ANTIVIBRANTI TELESCOPICI RAINBOW - Bianchi/Rossi - 70-120 Kg;2EMMECLIMA;9898-122
2701658;LAVABO SLEEPY 02 - 58x45 monoforo;ALICE;400408
2701956;LAVABO INCASSO DECOR SOPRAPIANO SENZA FORO - 56 x 41;ALICE;500500
27092;LAVABO  FORM C MONOFORO cm 70x50;ALICE;22140101
27108;VASO SOSPESO UNICA 50 - -;ALICE;32220101
27110;BIDET SOSPESO UNICA 500 - monoforo;ALICE;32230101
2711302;FISSAGGIO NASCOSTO PER SERIE UNICA E FORM SQUARE - -;ALICE;FIX50
2711401;SEDILE TERMOINDURENTE UNICA-FORM SQUARE - Chiusura normale;ALICE;MC 3201
2711402;SEDILE TERMOINDURENTE UNICA-FORM SQUARE - Chiusura rallentata;ALICE;MC2201ES
27118;VASO FORM SQUARE FILO PARETE - Scaico universale;ALICE;22240101
27120;BIDET FORM SQUARE FILO PARETE - Monoforo;ALICE;22250101
27126;VASO UNICA FILO PARETE - Scarico universale;ALICE;32200101
27128;BIDET UNICA FILO PARETE - Monoforo;ALICE;32210101
27132;VASO SOSPESO FORM SQUARE - -;ALICE;22300101
