Codice;Giacenza
00100B;599
00103;595
00108;28
00110;42
00114;206
00116;416
00120B;1401
00120C;44
00122;502
0012302;17
00124;42
00126;33
00250;475
00252;180
00254;268
00256;0
0025702;25
0025802;9
0025902;11
00260;69
00261B;35
00261C;25
00261N;6
00262;42
00263;18
0026501;2
0026502;3
0026702;192
0026704;24
0026706;19
00268;25
00271;6
00272;13
00273;66
00274;5
00275;3
00276;22
00277;5
0027802;19
0027804;23
00279;44
00280;36
00281;81
00282;10
00283;5
00284;13
00285;23
00286;1
0028702;19
0028802;14
00300;60
00301;16
00302;165
00303;79
00304;2070
00305;0
00306;7
00307;13
00308;27
0030902;143
00311;43
00312;9
00314;128
0031602;2
0037002;34
0037004;5
0037006;14
0037202;19
0037402;8
0037602;32
00411;25
0041402;4
0041602;4
0041802;7
00419;45
00420B;5
00420C;18
00421;188
00422;53
00423;0
00424;666
00425;12
00426;140
0042802;9
0042902;76
0042904;104
00430;79
00432;20
00434;1
0043502;72
0043504;12
00437;0
00438;110
0043901;15
0043902;1
0043903;8
0043904;2
0043905;33
00440;79
00441;34
00442;374
00444;15
00445;54
00447;12
00449;47
00450B;37
00450C;17
0045302;94
0045304;88
00454D;416
00454S;165
00456;257
00460D2;74
00460D3;7
00463;12
0046702;0
0046704;11
0046802;1
0046902;10
00470;494
00471;657
0047302;56
00474;16
00475;3
00476;26
0047702;133
0047802;59
00479S;7
00479T;16
00480;17
00481;10
00482;108
00483;85
00484M;73
00484N;61
00485D;16
00486;13
00487;11
00488;41
00489;33
00490E;6
00491;9
00492;21
00493;30
00494P;15
00494T;13
0049502;78
0049504;8
0049506;0
00496;213
00497;276
00500;6
0050201;7
0050202;6
00504;35
00506;11
00508;32
0050902;43
0051002;4
0056102;15
0056201;16
0056202;7
0056203;11
0056204;2
0056401;14
0056402;4
0056403;11
0056404;2
0056601;150
0056602;7
0056801;47
0056802;35
00569;76
00570B;2371
00570C;389
00570L;7
00570S;10
00572B;70
00572C;88
00572S;0
0057302;44
00574B;106
00574C;14
00576B;9
00576C;31
00576S;2
0057702;56
0057802;7
00579;36
00581B;3
00581C;6
00582B;4
00582C;9
00583;8
00584B;32
00584C;4
00585C;37
00586C;13
00587;16
00588;58
00589;42
00590;30
00591;17
00593E;14
00593S;0
00594E;15
00594S;17
00595;14
0059601;10
0059602;6
0059702;254
0059802;18
0059902;217
00600;20
00601B;10
00601C;6
00602;8
0060304;24
00604;8
00605E;10
00605S;6
00606;79
00607;8
00608;10
00609;12
00610;11
00611;18
0061201;2
0061203;96
00613;174
00615C;78
00618A;8
00618B;10
00618S;5
00619;18
00620;16
00621;7
00622;4
0062301;6
0062302;6
00624;19
00625B;156
00625C;10
00626;16
0062703;644
0062704;61
00628;398
00630;222
00632;12
00633;109
00634;36
00636;72
00638;35
00639;80
00640;1312
0064102;47
00642CA;10
00642DA;33
00642G32;273
00642GA;16
00643;26
00644CZ;134
00644DZ;45
00644G50;316
00644GZ;118
00645;8
0064600;13
0064602;16
00647;2
00648;63
00649;26
00650N;67
00650P;84
00656;61
00658;73
00659B;317
00659C;17
00660B;38
00660C;16
0066122B;18
0066126C;7
0066129B;11
00662037;224
00662038;114
00662039;24
00662060;909
00662080;192
00662100;263
00664;70
00665;432
0066605;36
0066606;26
00667A;334
00667B;304
0066905;3
0066906;21
00670;72
00671;25
00672;2698
00673;17
00674;14
00675;0
00676;388
00677C;22
00679;9
0068002;16
00681;37
00682;2971
00683;20
00684;275
00685;56
00686A;18
00686B;12
00687;1896
00688;66
00689;9
00698;13
00700;142
00702;32
